state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year
NV,,,"Grutzmacher, Bill",,CF,O,0.26,,2000
NY,,,"Clinton, Hillary Rodham",,D,O,55.27,W,2000
NY,,,"Lazio, Rick",,R,O,43,,2000
NY,,,"Graham, Jeffrey E.",,IDP,O,0.64,,2000
NY,,,"Dunau, Mark J.",,GRN,O,0.6,,2000
NY,,,"Adefope, John O.",,RTL,O,0.32,,2000
NY,,,"Clifton, John",,LBT,O,0.07,,2000
NY,,,"Wein, Louis P.",,CON,O,0.05,,2000
NY,,,"Perasso, Jacob J.",,SWP,O,0.04,,2000
OH,,(I),"DeWine, Mike",,R,O,59.9,W,2000
OH,,,"Celeste, Ted",,D,O,35.87,,2000
OH,,,"McAlister, John R.",,LBT,O,2.64,,2000
OH,,,"Eastman, John A.",,NL,O,1.59,,2000
OH,,,"Flower, Patrick Allen",,W,O,0,,2000
PA,,(I),"Santorum, Rick",,R,O,52.41,W,2000
PA,,,"Klink, Ron",,D,O,45.5,,2000
PA,,,"Featherman, John J.",,LBT,O,0.97,,2000
PA,,,"Searer, Lester B.",,CON,O,0.6,,2000
PA,,,"Domske, Robert E.",,REF,O,0.51,,2000
RI,,(I),"Chafee, Lincoln D.",,R,O,56.85,W,2000
RI,,,"Weygand, Robert A.",,D,O,41.12,,2000
RI,,,"Young, Christopher",,REF,O,1.05,,2000
RI,,,"Proulx, Kenneth P.",,I,O,0.93,,2000
TN,,(I),"Frist, Bill",,R,O,65.1,W,2000
TN,,,"Clark, Jeff",,D,O,32.21,,2000
TN,,,"Burrell, Tom",,I,O,1.34,,2000
TX,,(I),"Hutchison, Kay Bailey",,R,O,65.04,W,2000
TX,,,"Kelly, Gene",,D,O,32.35,,2000
TX,,,"Sandage, Douglas S.",,GRN,O,1.46,,2000
TX,,,"Ruwart, Mary J.",,LBT,O,1.16,,2000
UT,,(I),"Hatch, Orrin G.",,R,O,65.58,W,2000
UT,,,"Howell, Scott N.",,D,O,31.51,,2000
UT,,,"Bowen, Carlton Edward",,IAP,O,1.55,,2000
UT,,,"Dexter, Jim",,LBT,O,1.35,,2000
VA,,,"Allen, George F.",,R,O,52.26,W,2000
VA,,(I),"Robb, Charles S.",,D,O,47.68,,2000
VT,,(I),Jim Jeffords,,R,O,65.56,W,2000
VT,,,"Flanagan, Ed",,D,O,25.42,,2000
VT,,,"Russell, Charles W.",,CON,O,3.49,,2000
VT,,,"Greer, Billy",,GRT,O,1.69,,2000
VT,,,"Douglas, Hugh",,LBT,O,1.33,,2000
VT,,,"Levy, Jerry",,LU,O,0.51,,2000
WA,,,"Cantwell, Maria",,D,O,48.73,W,2000
WA,,(I),"Gorton, Slade",,R,O,48.64,,2000
WA,,,"Jared, Jeff",,LBT,O,2.63,,2000
WI,,(I),"Kohl, Herbert H.",,D,O,61.54,W,2000
WI,,,"Gillespie, John",,R,O,37.04,,2000
WI,,,"Peterson, Tim",,LBT,O,0.84,,2000
WI,,,"Hem, Eugene A.",,I,O,0.38,,2000
WI,,,"Raymond, Robert R.",,CON,O,0.17,,2000
WV,,(I),"Byrd, Robert C.",,D,O,77.75,W,2000
WV,,,"Gallaher, David T.",,R,O,20.16,,2000
WV,,,"Whelan, Joe",,LBT,O,2.09,,2000
WY,,(I),"Thomas, Craig",,R,O,73.77,W,2000
WY,,,"Logan, Mel",,D,O,22.04,,2000
WY,,,"Dawson, Margaret",,LBT,O,4.19,,2000
